Product_Code|Title|Vendor_Name|Rating|Num_Ratings|Ranking|Category|Price|Quantity|Min_Price_Comp|Max_Price_Comp|Avg_Price_Comp|Date
B09G92Y196|Disney Sandalias de Frozen y Mickey para niños, cierre fácil de deslizar, impermeables, de secado rápido, color morado, rosa/azul (tamaños: 5-10 niños pequeños/11-12 niños pequeños)|Ultimate footwear|||||US$14.99|12||||2024-12-27 16:26:34
B08MMJW4GP|KÜB - Juguete de empuje para bebés y niños pequeños, sonido interactivo y efecto de luz, centro de actividades Montessori musical, rueda de velocidad ajustable, seguro y estable, regalo divertido para|KUB Baby|||||US$89.99|780||||2024-12-27 16:27:46
B0BQHP2BDY|TEEZWONDER Regalos para mamá de hijas e hijos, día de la madre, Navidad, cumpleaños, día de San Valentín, regalos para mamá, regalos de abuela, nuevas mamás, regalos para mamá por primera vez para|TEEZWONDER STORE|||||US$11.99|156||||2024-12-27 16:28:54
B0D1MKBG6M|YOUR MOON Almohada suave tamaño Queen para dormir, almohada alternativa de apoyo súper suave, funda de 100% algodón, almohadas de cama cómodas y esponjosas para dormir (blanco)|MeisheHome|||||US$33.98|269||||2024-12-27 16:29:58
B0D9PT21MS|Pájaro artificial del paraíso de 4 pies de palmera artificial para decoración de interiores y exteriores de la oficina|MeDal|||||US$53.85|38||||2024-12-27 16:31:02
B08MMJW4GP|KÜB - Juguete de empuje para bebés y niños pequeños, sonido interactivo y efecto de luz, centro de actividades Montessori musical, rueda de velocidad ajustable, seguro y estable, regalo divertido para|KUB Baby|||||US$89.99|768||||2024-12-28 19:25:04
B0D1MKBG6M|YOUR MOON Almohada suave tamaño Queen para dormir, almohada alternativa de apoyo súper suave, funda de 100% algodón, almohadas de cama cómodas y esponjosas para dormir (blanco)|MeisheHome|||||US$33.98|266||||2024-12-28 19:26:11
B0BQHP2BDY|TEEZWONDER Regalos para mamá de hijas e hijos, día de la madre, Navidad, cumpleaños, día de San Valentín, regalos para mamá, regalos de abuela, nuevas mamás, regalos para mamá por primera vez para|TEEZWONDER STORE|||||US$11.99|157||||2024-12-28 19:27:17
B0D9PT21MS|Pájaro artificial del paraíso de 4 pies de palmera artificial para decoración de interiores y exteriores de la oficina|MeDal|||||US$53.85|38||||2024-12-28 19:28:24
B09G92Y196|Disney Sandalias de Frozen y Mickey para niños, cierre fácil de deslizar, impermeables, de secado rápido, color morado, rosa/azul (tamaños: 5-10 niños pequeños/11-12 niños pequeños)|Ultimate footwear|||||US$14.99|12||||2024-12-28 19:29:24
B09G92Y196|Disney Sandalias de Frozen y Mickey para niños, cierre fácil de deslizar, impermeables, de secado rápido, color morado, rosa/azul (tamaños: 5-10 niños pequeños/11-12 niños pequeños)|Ultimate footwear|||||US$14.99|12||||2024-12-30 08:47:48
B08MMJW4GP|KÜB - Juguete de empuje para bebés y niños pequeños, sonido interactivo y efecto de luz, centro de actividades Montessori musical, rueda de velocidad ajustable, seguro y estable, regalo divertido para|KUB Baby|||||US$89.99|744||||2024-12-30 08:49:09
B0BQHP2BDY|TEEZWONDER Regalos para mamá de hijas e hijos, día de la madre, Navidad, cumpleaños, día de San Valentín, regalos para mamá, regalos de abuela, nuevas mamás, regalos para mamá por primera vez para|TEEZWONDER STORE|||||US$11.99|157||||2024-12-30 08:50:19
B0D1MKBG6M|YOUR MOON Almohada suave tamaño Queen para dormir, almohada alternativa de apoyo súper suave, funda de 100% algodón, almohadas de cama cómodas y esponjosas para dormir (blanco)|MeisheHome|||||US$33.98|265||||2024-12-30 08:51:39
B0D9PT21MS|Pájaro artificial del paraíso de 4 pies de palmera artificial para decoración de interiores y exteriores de la oficina|MeDal|||||US$53.85|38||||2024-12-30 08:52:45
B0BQHP2BDY|TEEZWONDER Regalos para mamá de hijas e hijos, día de la madre, Navidad, cumpleaños, día de San Valentín, regalos para mamá, regalos de abuela, nuevas mamás, regalos para mamá por primera vez para|TEEZWONDER STORE|||||US$11.99|157||||2024-12-31 09:20:59
B0D1MKBG6M|YOUR MOON Almohada suave tamaño Queen para dormir, almohada alternativa de apoyo súper suave, funda de 100% algodón, almohadas de cama cómodas y esponjosas para dormir (blanco)|MeisheHome|||||US$33.98|266||||2024-12-31 09:22:04
B09G92Y196|Disney Sandalias de Frozen y Mickey para niños, cierre fácil de deslizar, impermeables, de secado rápido, color morado, rosa/azul (tamaños: 5-10 niños pequeños/11-12 niños pequeños)|Ultimate footwear|||||US$14.99|12||||2024-12-31 09:23:08
B0D9PT21MS|Pájaro artificial del paraíso de 4 pies de palmera artificial para decoración de interiores y exteriores de la oficina|MeDal|||||US$53.85|38||||2024-12-31 09:24:20
B08MMJW4GP|KÜB - Juguete de empuje para bebés y niños pequeños, sonido interactivo y efecto de luz, centro de actividades Montessori musical, rueda de velocidad ajustable, seguro y estable, regalo divertido para|KUB Baby|||||US$89.99|728||||2024-12-31 09:25:22
B0D1MKBG6M|YOUR MOON Almohada suave tamaño Queen para dormir, almohada alternativa de apoyo súper suave, funda de 100% algodón, almohadas de cama cómodas y esponjosas para dormir (blanco)|MeisheHome|||||US$33.98|262||||2025-01-01 14:42:35
B0BQHP2BDY|TEEZWONDER Regalos para mamá de hijas e hijos, día de la madre, Navidad, cumpleaños, día de San Valentín, regalos para mamá, regalos de abuela, nuevas mamás, regalos para mamá por primera vez para|TEEZWONDER STORE|||||US$11.99|157||||2025-01-01 14:43:37
B0BQHP2BDY|TEEZWONDER Regalos para mamá de hijas e hijos, día de la madre, Navidad, cumpleaños, día de San Valentín, regalos para mamá, regalos de abuela, nuevas mamás, regalos para mamá por primera vez para|TEEZWONDER STORE|||||US$11.99|157||||2025-01-02 14:05:03
B08MMJW4GP|KÜB - Juguete de empuje para bebés y niños pequeños, sonido interactivo y efecto de luz, centro de actividades Montessori musical, rueda de velocidad ajustable, seguro y estable, regalo divertido para|KUB Baby|||||US$89.99|701||||2025-01-02 14:06:06
B09G92Y196|Disney Sandalias de Frozen y Mickey para niños, cierre fácil de deslizar, impermeables, de secado rápido, color morado, rosa/azul (tamaños: 5-10 niños pequeños/11-12 niños pequeños)|Ultimate footwear|||||US$14.99|10||||2025-01-02 14:07:11
B0D1MKBG6M|YOUR MOON Almohada suave tamaño Queen para dormir, almohada alternativa de apoyo súper suave, funda de 100% algodón, almohadas de cama cómodas y esponjosas para dormir (blanco)|MeisheHome|||||US$33.98|258||||2025-01-02 14:08:25
B0D9PT21MS|Pájaro artificial del paraíso de 4 pies de palmera artificial para decoración de interiores y exteriores de la oficina|MeDal|||||US$53.85|39||||2025-01-02 14:09:27
B0D1MKBG6M|YOUR MOON Almohada suave tamaño Queen para dormir, almohada alternativa de apoyo súper suave, funda de 100% algodón, almohadas de cama cómodas y esponjosas para dormir (blanco)|MeisheHome|||||US$33.98|255||||2025-01-03 14:58:08
B08MMJW4GP|KÜB - Juguete de empuje para bebés y niños pequeños, sonido interactivo y efecto de luz, centro de actividades Montessori musical, rueda de velocidad ajustable, seguro y estable, regalo divertido para|KUB Baby|||||US$89.99|693||||2025-01-03 14:59:09
B09G92Y196|Disney Sandalias de Frozen y Mickey para niños, cierre fácil de deslizar, impermeables, de secado rápido, color morado, rosa/azul (tamaños: 5-10 niños pequeños/11-12 niños pequeños)|Ultimate footwear|||||US$14.99|10||||2025-01-03 15:00:14
B0D9PT21MS|Pájaro artificial del paraíso de 4 pies de palmera artificial para decoración de interiores y exteriores de la oficina|MeDal|||||US$53.85|39||||2025-01-03 15:01:24
B0BQHP2BDY|TEEZWONDER Regalos para mamá de hijas e hijos, día de la madre, Navidad, cumpleaños, día de San Valentín, regalos para mamá, regalos de abuela, nuevas mamás, regalos para mamá por primera vez para|TEEZWONDER STORE|||||US$11.99|157||||2025-01-03 15:02:25
B08MMJW4GP|KÜB - Juguete de empuje para bebés y niños pequeños, sonido interactivo y efecto de luz, centro de actividades Montessori musical, rueda de velocidad ajustable, seguro y estable, regalo divertido para|KUB Baby|||||US$89.99|683||||2025-01-04 12:52:53
B0D1MKBG6M|YOUR MOON Almohada suave tamaño Queen para dormir, almohada alternativa de apoyo súper suave, funda de 100% algodón, almohadas de cama cómodas y esponjosas para dormir (blanco)|MeisheHome|||||US$33.98|250||||2025-01-04 12:53:59
B0D9PT21MS|Pájaro artificial del paraíso de 4 pies de palmera artificial para decoración de interiores y exteriores de la oficina|MeDal|||||US$53.85|38||||2025-01-05 12:57:27
B09G92Y196|Disney Sandalias de Frozen y Mickey para niños, cierre fácil de deslizar, impermeables, de secado rápido, color morado, rosa/azul (tamaños: 5-10 niños pequeños/11-12 niños pequeños)|Ultimate footwear|||||US$14.99|9||||2025-01-05 12:58:28
B0BQHP2BDY|TEEZWONDER Regalos para mamá de hijas e hijos, día de la madre, Navidad, cumpleaños, día de San Valentín, regalos para mamá, regalos de abuela, nuevas mamás, regalos para mamá por primera vez para|TEEZWONDER STORE|||||US$11.99|156||||2025-01-06 14:20:53
B08MMJW4GP|KÜB - Juguete de empuje para bebés y niños pequeños, sonido interactivo y efecto de luz, centro de actividades Montessori musical, rueda de velocidad ajustable, seguro y estable, regalo divertido para|KUB Baby|||||US$89.99|664||||2025-01-06 14:21:56
B09G92Y196|Disney Sandalias de Frozen y Mickey para niños, cierre fácil de deslizar, impermeables, de secado rápido, color morado, rosa/azul (tamaños: 5-10 niños pequeños/11-12 niños pequeños)|Ultimate footwear|||||US$14.99|9||||2025-01-06 14:23:02
B0D9PT21MS|Pájaro artificial del paraíso de 4 pies de palmera artificial para decoración de interiores y exteriores de la oficina|MeDal|||||US$53.85|38||||2025-01-06 14:24:12
B0D1MKBG6M|YOUR MOON Almohada suave tamaño Queen para dormir, almohada alternativa de apoyo súper suave, funda de 100% algodón, almohadas de cama cómodas y esponjosas para dormir (blanco)|MeisheHome|||||US$33.98|247||||2025-01-06 14:25:13
B0BQHP2BDY|TEEZWONDER Regalos para mamá de hijas e hijos, día de la madre, Navidad, cumpleaños, día de San Valentín, regalos para mamá, regalos de abuela, nuevas mamás, regalos para mamá por primera vez para|TEEZWONDER STORE|||||US$11.99|153||||2025-01-07 15:55:13
B0D1MKBG6M|YOUR MOON Almohada suave tamaño Queen para dormir, almohada alternativa de apoyo súper suave, funda de 100% algodón, almohadas de cama cómodas y esponjosas para dormir (blanco)|MeisheHome|||||US$33.98|246||||2025-01-07 15:56:15
B09G92Y196|Disney Sandalias de Frozen y Mickey para niños, cierre fácil de deslizar, impermeables, de secado rápido, color morado, rosa/azul (tamaños: 5-10 niños pequeños/11-12 niños pequeños)|Ultimate footwear|||||US$14.99|9||||2025-01-07 15:57:19
B08MMJW4GP|KÜB - Juguete de empuje para bebés y niños pequeños, sonido interactivo y efecto de luz, centro de actividades Montessori musical, rueda de velocidad ajustable, seguro y estable, regalo divertido para|KUB Baby|||||US$89.99|659||||2025-01-07 15:58:30
B0D9PT21MS|Pájaro artificial del paraíso de 4 pies de palmera artificial para decoración de interiores y exteriores de la oficina|MeDal|||||US$53.85|38||||2025-01-07 15:59:39
B0D9PT21MS|Pájaro artificial del paraíso de 4 pies de palmera artificial para decoración de interiores y exteriores de la oficina|MeDal|||||US$53.85|38||||2025-01-08 17:27:04
B0D1MKBG6M|YOUR MOON Almohada suave tamaño Queen para dormir, almohada alternativa de apoyo súper suave, funda de 100% algodón, almohadas de cama cómodas y esponjosas para dormir (blanco)|MeisheHome|||||US$33.98|245||||2025-01-08 17:28:11
B09G92Y196|Disney Sandalias de Frozen y Mickey para niños, cierre fácil de deslizar, impermeables, de secado rápido, color morado, rosa/azul (tamaños: 5-10 niños pequeños/11-12 niños pequeños)|Ultimate footwear|||||US$14.99|9||||2025-01-08 17:29:16
B08MMJW4GP|KÜB - Juguete de empuje para bebés y niños pequeños, sonido interactivo y efecto de luz, centro de actividades Montessori musical, rueda de velocidad ajustable, seguro y estable, regalo divertido para|KUB Baby|||||US$89.99|650||||2025-01-08 17:30:26
B0BQHP2BDY|TEEZWONDER Regalos para mamá de hijas e hijos, día de la madre, Navidad, cumpleaños, día de San Valentín, regalos para mamá, regalos de abuela, nuevas mamás, regalos para mamá por primera vez para|TEEZWONDER STORE|||||US$11.99|154||||2025-01-08 17:31:35
B08MMJW4GP|KÜB - Juguete de empuje para bebés y niños pequeños, sonido interactivo y efecto de luz, centro de actividades Montessori musical, rueda de velocidad ajustable, seguro y estable, regalo divertido para|KUB Baby|||||US$89.99|646||||2025-01-09 14:44:59
B0D1MKBG6M|YOUR MOON Almohada suave tamaño Queen para dormir, almohada alternativa de apoyo súper suave, funda de 100% algodón, almohadas de cama cómodas y esponjosas para dormir (blanco)|MeisheHome|||||US$33.98|242||||2025-01-09 14:51:47
B0BQHP2BDY|TEEZWONDER Regalos para mamá de hijas e hijos, día de la madre, Navidad, cumpleaños, día de San Valentín, regalos para mamá, regalos de abuela, nuevas mamás, regalos para mamá por primera vez para|TEEZWONDER STORE|||||US$11.99|154||||2025-01-09 14:52:50
B0D9PT21MS|Pájaro artificial del paraíso de 4 pies de palmera artificial para decoración de interiores y exteriores de la oficina|MeDal|||||US$53.85|38||||2025-01-09 14:59:27
B09G92Y196|Disney Sandalias de Frozen y Mickey para niños, cierre fácil de deslizar, impermeables, de secado rápido, color morado, rosa/azul (tamaños: 5-10 niños pequeños/11-12 niños pequeños)|Ultimate footwear|||||US$14.99|8||||2025-01-09 15:00:32
B0D9PT21MS|Pájaro artificial del paraíso de 4 pies de palmera artificial para decoración de interiores y exteriores de la oficina|MeDal|||||US$53.85|38||||2025-01-10 17:24:56
B08MMJW4GP|KÜB - Juguete de empuje para bebés y niños pequeños, sonido interactivo y efecto de luz, centro de actividades Montessori musical, rueda de velocidad ajustable, seguro y estable, regalo divertido para|KUB Baby|||||US$89.99|635||||2025-01-10 17:26:03
B09G92Y196|Disney Sandalias de Frozen y Mickey para niños, cierre fácil de deslizar, impermeables, de secado rápido, color morado, rosa/azul (tamaños: 5-10 niños pequeños/11-12 niños pequeños)|Ultimate footwear|||||US$14.99|8||||2025-01-10 17:27:10
B0BQHP2BDY|TEEZWONDER Regalos para mamá de hijas e hijos, día de la madre, Navidad, cumpleaños, día de San Valentín, regalos para mamá, regalos de abuela, nuevas mamás, regalos para mamá por primera vez para|TEEZWONDER STORE|||||US$11.99|146||||2025-01-10 17:28:18
